SYMBOL,DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
BSX,1/2/2014,12.02,12.02,11.85,11.91,7971602
BWA,1/2/2014,55.89,55.96,54.59,54.94,1301497
BXP,1/2/2014,100.22,101.36,99.55,100.39,894806
CAG,1/2/2014,33.66,33.73,33.46,33.57,1904047
CAH,1/2/2014,66.45,66.6475,65.91,66.13,1608509
CAT,1/2/2014,90.41,90.45,89.33,89.87,4898714
CA,1/2/2014,33.49,33.56,33.02,33.15,1948770
CBG,1/2/2014,26.27,26.55,26.07,26.34,2607046
CBOE,1/2/2014,51.89,51.9789,50.76,50.98,522121
CBS,1/2/2014,63.25,63.73,62.41,63.25,6722968
CB,1/2/2014,102.78,103.39,101.33,101.7,1112627
CCI,1/2/2014,73.14,73.2,71.23,71.63,3659722
CCL,1/2/2014,39.64,39.995,39.61,39.81,2953583
CDNS,1/2/2014,14,14.08,13.92,14.01,3118223
CELG,1/2/2014,84.505,86.17,84.085,85.97,4759036
CERN,1/2/2014,55.48,55.6,54.82,55.07,1111541
CF,1/2/2014,46.606,47.36,46.4588,46.738,3460110
CHD,1/2/2014,33.13,33.155,32.61,32.75,1035860
CHK,1/2/2014,27.07,27.22,26.45,26.62,7040026
CHRW,1/2/2014,58.21,58.48,57.61,57.82,1503287
CHTR,1/2/2014,137.15,137.6799,134.48,134.755,1119877
CINF,1/2/2014,52.15,52.185,51.25,51.45,541030
CI,1/2/2014,86.99,87.45,86.19,86.2,1021731
CLX,1/2/2014,92.75,92.75,90.65,91.16,1353357
CL,1/2/2014,64.89,65.03,64,64.3,3004468
CMA,1/2/2014,47.24,47.43,46.84,46.85,1094704
CMCSA,1/2/2014,25.9,25.95,25.635,25.725,19522498
CME,1/2/2014,77.96,78.75,77.32,77.96,2070876
CMG,1/2/2014,530,532.9599,521.53,523.43,456491
CMI,1/2/2014,140.43,140.98,138.28,138.56,1533605
CMS,1/2/2014,26.8,26.8,26.205,26.3,2218229
CNC,1/2/2014,29.48,29.64,29.215,29.52,1005594
CNP,1/2/2014,23.17,23.29,22.81,22.82,2980414
COF,1/2/2014,76.61,77.73,76.6,77.25,3070336
COG,1/2/2014,38.57,39.3,37.98,38.17,4825062
COL,1/2/2014,74,74,72.952,73.11,731153
COO,1/2/2014,123.25,123.97,122.29,123.05,320701
COP,1/2/2014,70.27,70.92,69.53,69.78,4363288
COST,1/2/2014,118.71,119.3,117.74,117.81,1618678
COTY,1/2/2014,15.27,15.62,15.16,15.57,783829
CPB,1/2/2014,43.08,43.23,42.68,43.04,2169184
CRM,1/2/2014,55.2,55.21,54.4105,54.86,2739210
CSCO,1/2/2014,22.17,22.29,21.91,22,44387713
CSX,1/2/2014,28.61,28.67,28.19,28.25,4485698
CTAS,1/2/2014,59.25,59.37,58.68,59.06,580415
CTL,1/2/2014,31.74,31.82,31.51,31.65,4446283
CTSH,1/2/2014,50.125,50.375,49.215,49.42,5559598
CTXS,1/2/2014,63.04,63.19,61.97,62.49,1018355
CVS,1/2/2014,71.16,71.37,70.18,70.4,4489516
CVX,1/2/2014,124.46,124.88,123.71,124.14,4540472
CXO,1/2/2014,106.44,108.84,101.42,103.14,1815364
C,1/2/2014,52.03,52.4,51.81,52.27,16489767
DAL,1/2/2014,27.26,28.05,27.26,27.7,11704363
DE,1/2/2014,90.95,91.3,90.13,90.26,2462047
DFS,1/2/2014,55.79,56,55.14,55.36,2756625
DGX,1/2/2014,53.45,53.5,52.75,52.85,2857287
DG,1/2/2014,60.38,61.62,60.38,61.2,6018218
DHI,1/2/2014,21.81,22.035,21.635,21.83,6140313
DHR,1/2/2014,76.66,77.01,76.1,76.45,2010443
DISCA,1/2/2014,90.21,90.25,88.6,89.1,893462
DISCK,1/2/2014,83.22,83.67,82.13,82.52,184546
DISH,1/2/2014,57.99,58.15,57.02,57.75,1724368
DIS,1/2/2014,76.04,76.5,75.9,76.27,5212460
DLR,1/2/2014,49.63,50.829,49.3,49.47,2583986
DLTR,1/2/2014,55.99,56.56,55.98,56.4,2424218
DOV,1/2/2014,96.54,96.74,94.93,95.25,647793
DPS,1/2/2014,48.86,48.93,47.48,47.67,1182288
DRE,1/2/2014,15.25,15.25,14.97,15.05,2550464
DRI,1/2/2014,54.18,54.34,53.295,53.32,1782716
DTE,1/2/2014,66.4,66.44,65.22,65.26,1415319
DUK,1/2/2014,69.2,69.24,68,68.14,3374033
DVA,1/2/2014,63.36,65.16,63.19,64.78,2901903
DVN,1/2/2014,61.69,61.84,60.92,61.16,2061600
D,1/2/2014,64.61,64.64,63.441,63.58,2284519
EA,1/2/2014,22.9,22.96,22.43,22.83,3550732
EBAY,1/2/2014,54.97,55,53.9,53.94,9980763
ECL,1/2/2014,103.58,104.42,103.41,103.79,814936
ED,1/2/2014,55.15,55.15,53.9,53.96,3337195
EFX,1/2/2014,68.95,69.25,68.2,68.45,336346
EIX,1/2/2014,46.06,46.491,45.41,45.43,2414961
EL,1/2/2014,74.99,75.1,73.56,73.71,1084018
EMN,1/2/2014,80.31,80.53,79.88,80.28,1612922
EMR,1/2/2014,69.83,70.03,69.1006,69.3,1803110
EOG,1/2/2014,83.285,83.978,82.03,82.51,2944140
EQIX,1/2/2014,177.63,177.63,171.91,174.76,823185
EQR,1/2/2014,51.74,52.305,51.55,51.99,1520619
EQT,1/2/2014,89.88,90.19,88.12,88.73,807841
ESRX,1/2/2014,70,70.41,69.77,69.955,2895590
ESS,1/2/2014,141.79,147.54,141.79,146.3,725431
ES,1/2/2014,42.35,42.42,41.7,41.72,2915300
ETFC,1/2/2014,19.71,19.86,19.58,19.81,3115394
ETN,1/2/2014,75.74,75.99,75.18,75.49,3774166
ETR,1/2/2014,63.35,63.39,61.71,61.84,1206645
EW,1/2/2014,32.84,33.22,32.595,32.96,1670338
EXC,1/2/2014,27.46,27.58,27.16,27.17,4983758
EXPD,1/2/2014,44.31,44.48,43.34,43.49,782942
EXPE,1/2/2014,69.08,69.69,68.56,69.21,1399901
EXR,1/2/2014,42.09,42.15,41.48,41.79,491126
FAST,1/2/2014,47.51,47.61,46.45,46.7,1532639
FBHS,1/2/2014,45.5,46.04,45.2,45.43,1024930
FB,1/2/2014,54.83,55.22,54.19,54.71,43257622
FCX,1/2/2014,37.69,38.09,37.44,37.63,9047737
FDX,1/2/2014,142.9,144.39,139.5693,139.77,3360745
FE,1/2/2014,32.96,32.98,32.25,32.38,3431905
FFIV,1/2/2014,90.42,90.47,88.445,88.89,1039619
FISV,1/2/2014,59.05,59.22,57.99,58.2,1028767
FIS,1/2/2014,53.4,53.55,52.79,53,986757
FITB,1/2/2014,20.94,21.06,20.83,20.87,6971216
FLIR,1/2/2014,29.92,30.01,29.07,29.11,781424
FLR,1/2/2014,79.82,80.2,78.79,78.87,1206471
FLS,1/2/2014,78.17,78.46,76.99,77.3,1400867
FL,1/2/2014,41.36,41.52,40.59,40.78,1559184
FMC,1/2/2014,75.27,75.38,74.33,74.53,605886
FOXA,1/2/2014,35.47,35.75,35.27,35.63,11035482
FOX,1/2/2014,34.58,35.18,34.45,35.04,1978530
FRT,1/2/2014,101.38,101.84,100.366,100.9,501833
FTI,1/2/2014,51.94,52.21,50.861,51.25,1964533
F,1/2/2014,15.42,15.45,15.28,15.44,31544161
GD,1/2/2014,94.85,95.53,94.54,94.75,1816353
GE,1/2/2014,27.86,27.94,27.41,27.5,41503781
GGP,1/2/2014,20.08,20.12,19.86,20.04,4861847
GILD,1/2/2014,75.205,75.59,74.39,75.21,8281053
GIS,1/2/2014,49.6,49.68,49.27,49.4,2205527
GLW,1/2/2014,17.74,17.81,17.62,17.77,7571718
GM,1/2/2014,40.68,41.0599,40.34,40.95,14764415
GOOGL,1/2/2014,558.2877,559.4339,554.6842,557.1166,3641796
GPC,1/2/2014,83.1,83.1299,81.63,81.92,545102
GPN,1/2/2014,32.445,32.745,32.445,32.725,1658578
GPS,1/2/2014,39.09,39.63,38.66,38.72,4785190
GRMN,1/2/2014,45.75,45.835,44.56,44.95,1830255
GS,1/2/2014,176.95,178.38,176.36,176.89,1990643
GT,1/2/2014,23.67,23.74,23.31,23.53,2792843
GWW,1/2/2014,254.7,255.48,252.82,253.06,285125
HAL,1/2/2014,50.47,50.67,49.63,50.01,7420119
HAS,1/2/2014,54.89,55.18,54.56,54.58,2326340
HBAN,1/2/2014,9.6,9.66,9.53,9.54,7039144
HBI,1/2/2014,17.455,17.54,17.205,17.3875,2123404
HCA,1/2/2014,47.39,48.4,47.26,47.77,2221061
HCN,1/2/2014,53.15,53.6855,53.08,53.54,2575096
HCP,1/2/2014,36.33,36.43,36,36.21,2100032
HD,1/2/2014,82.11,82.57,81.8,82.02,4255086
HES,1/2/2014,82.95,83,80.685,81.12,2755967
HIG,1/2/2014,36.1,36.13,35.38,35.4,3545824
HII,1/2/2014,89.63,90.08,87.42,87.91,479111
HOG,1/2/2014,69.19,69.25,68.42,68.56,1022542
HOLX,1/2/2014,22.22,22.3,21.91,21.94,2475125
HON,1/2/2014,90.96,91.14,90.05,90.32,1744307
HP,1/2/2014,83.95,84.28,82.03,82.25,953505
HRB,1/2/2014,28.99,29.41,28.95,29.38,1835433
HRL,1/2/2014,22.555,22.585,22.315,22.315,1371966
HRS,1/2/2014,69.63,69.65,68.08,68.48,601686
HSIC,1/2/2014,57.005,57.13,56.495,56.745,693768
HST,1/2/2014,19.41,19.42,19.08,19.26,4973190
HSY,1/2/2014,97.18,97.18,95.9,95.93,753497
HUM,1/2/2014,102.76,103.88,102.3,102.84,1393665
IBM,1/2/2014,187.21,187.4,185.2,185.53,4546809
ICE,1/2/2014,44.832,45.098,44.43,44.92,3833350
IDXX,1/2/2014,52.995,53.735,52.3176,52.515,855188
IFF,1/2/2014,85.98,86.5,85.47,85.65,346558
ILMN,1/2/2014,110.48,110.6,108.91,110.34,654500
INCY,1/2/2014,50.32,52.1,49.655,51.23,978188
INTC,1/2/2014,25.78,25.82,25.47,25.79,31843697
INTU,1/2/2014,76.11,76.16,75.4001,75.94,1355681
IPG,1/2/2014,17.6,17.665,17.47,17.6,3238010
IP,1/2/2014,48.58,49.15,48.54,48.8,2152672
IQV,1/2/2014,46.11,46.59,45.64,45.8,274612
IRM,1/2/2014,30.26,30.48,29.22,29.49,1886423
IR,1/2/2014,61.25,61.7,61.12,61.24,1916195
ISRG,1/2/2014,127.8799,127.8799,126.0899,126.6699,1382829
ITW,1/2/2014,83.97,84.1,83.07,83.19,1390787
IT,1/2/2014,70.89,70.92,69.58,69.8,377433
IVZ,1/2/2014,36.26,36.4,35.675,35.87,1866179
JBHT,1/2/2014,77.17,77.29,76.26,76.6,538630
JCI,1/2/2014,42.8063,43.0157,42.3665,42.5759,2881549
JEC,1/2/2014,63.67,64.1,62.655,62.88,1545713
JNJ,1/2/2014,91.14,91.73,91.01,91.03,5921167
JNPR,1/2/2014,22.57,22.65,22.28,22.48,5654017
JPM,1/2/2014,58.31,58.5,57.9745,58.21,15637267
JWN,1/2/2014,61.67,62.2,61.34,61.95,1177814
KEY,1/2/2014,13.43,13.44,13.26,13.29,6353925
KIM,1/2/2014,19.77,19.86,19.61,19.77,2627327
KLAC,1/2/2014,64,64.11,63.13,63.38,982745
KMB,1/2/2014,104.32,104.62,103.52,103.84,1432910
KMI,1/2/2014,35.99,36.25,35.75,35.91,4214292
KMX,1/2/2014,47.02,47.25,46.57,46.9,1325121
KORS,1/2/2014,80.94,82.75,80.94,82.41,3342211
KO,1/2/2014,41.12,41.225,40.51,40.66,12720197
KR,1/2/2014,19.63,19.77,19.605,19.64,6389552
KSS,1/2/2014,56.76,57.53,56.735,56.99,3130048
KSU,1/2/2014,123.04,123.21,119.46,120,801815
K,1/2/2014,60.98,61.24,60.55,60.81,1830452
LB,1/2/2014,61.68,62.52,61.41,61.59,745300
LEG,1/2/2014,30.87,30.92,30.54,30.66,713229
LEN,1/2/2014,38.3922,38.7941,38.0196,38.6471,2517275
LH,1/2/2014,91.37,91.6299,90.045,90.23,1060349
LKQ,1/2/2014,32.84,32.8997,32.29,32.4,790694
LLL,1/2/2014,106.07,106.28,104.94,105.08,720066
LLY,1/2/2014,50.97,51.0901,50.56,50.73,3176683
LMT,1/2/2014,147.05,147.79,145.84,146.07,1115858
LNC,1/2/2014,51.33,51.34,50.28,50.53,1767432
LNT,1/2/2014,25.805,25.805,25.345,25.39,1103324
LOW,1/2/2014,49.55,49.86,49.15,49.44,5458567
LRCX,1/2/2014,54.04,54.33,53.69,53.95,1052918
LUK,1/2/2014,28.37,28.65,28.24,28.5,1237210
LUV,1/2/2014,18.85,19.09,18.78,18.88,4559256
LYB,1/2/2014,80.05,80.2099,77.9,78.78,4922706
L,1/2/2014,48.12,48.15,47.15,47.38,868993
MAA,1/2/2014,60.74,61.43,60.472,61.06,345293
MAC,1/2/2014,58.69,58.825,57.84,58.38,767845
MAR,1/2/2014,49.03,49.26,48.57,48.96,2127020
MAS,1/2/2014,22.73,22.91,22.61,22.69,2330880
MAT,1/2/2014,47.57,47.72,46.935,47.39,2335717
MA,1/2/2014,83.741,83.7967,83.01,83.414,7408790
MCD,1/2/2014,96.81,97.03,96.2576,96.41,2932283
MCHP,1/2/2014,44.56,44.56,44.005,44.17,1150289
MCK,1/2/2014,160.85,160.9875,159.451,160.16,846980
MCO,1/2/2014,77.86,77.96,76.42,77.32,950687
MDLZ,1/2/2014,35.03,35.198,34.75,34.81,6213092
MDT,1/2/2014,57.21,57.455,57.035,57.24,4219216
MET,1/2/2014,53.55,53.57,52.89,53.19,3879875
MGM,1/2/2014,23.54,23.94,23.32,23.72,8408771
MHK,1/2/2014,148.72,149.66,147.78,149.11,676997
MKC,1/2/2014,68.87,68.96,68.09,68.34,470695
MLM,1/2/2014,99.54,100.18,98.74,99.54,393209
MMC,1/2/2014,48.01,48.15,47.61,47.72,1383352
MMM,1/2/2014,138.05,139,137.61,138.13,3053521
MNST,1/2/2014,22.6266,22.6633,22.2166,22.26,4593288
MON,1/2/2014,116.12,117.5,115.97,116.31,2677114
MOS,1/2/2014,47.25,47.65,46.955,47,1648763
MO,1/2/2014,38.27,38.38,37.781,37.9,6324825
MPC,1/2/2014,45.745,45.91,44.4151,44.74,6070238
MRK,1/2/2014,49.88,50.04,49.3,49.49,7897827
MRO,1/2/2014,35.25,35.33,34.72,34.91,3686485
MSFT,1/2/2014,37.35,37.4,37.1,37.16,30643745
MSI,1/2/2014,67.37,67.49,65.84,66.33,1101567
MS,1/2/2014,31.33,31.46,30.98,31.03,9843424
MTB,1/2/2014,116.38,116.4,114.86,115.06,1069011
MTD,1/2/2014,241.09,243.19,239.92,241.53,154360
MU,1/2/2014,21.68,21.79,21.27,21.66,26441939
MYL,1/2/2014,43.38,43.42,42.55,42.58,2625267
M,1/2/2014,53.17,53.91,52.95,53.39,2972778
NBL,1/2/2014,67.86,67.95,66.1101,66.59,2281302
NCLH,1/2/2014,35.16,35.4,34.46,34.64,428429
NDAQ,1/2/2014,39.89,39.96,39.15,39.2,1051348
NEE,1/2/2014,85.39,85.48,84.22,84.25,2429054
NEM,1/2/2014,23.47,24.27,23.41,23.96,12240365
NFLX,1/2/2014,52.4014,52.5114,51.5428,51.8314,12333979
NFX,1/2/2014,24.6,24.7,24.12,24.37,2507893
NI,1/2/2014,32.84,32.91,32.11,32.29,2244773
NKE,1/2/2014,39.075,39.415,38.965,39.12,5320436
NLSN,1/2/2014,45.8,45.9,44.88,45.08,1904066
NOC,1/2/2014,114.18,114.49,112.76,113.23,1083625
NOV,1/2/2014,79.4,80.26,78.73,79.02,2505462
NRG,1/2/2014,28.74,28.78,28.5,28.58,3896367
NSC,1/2/2014,92.33,92.59,91.07,91.31,1321650
NTAP,1/2/2014,41.01,41.01,40.415,40.42,2427140
NTRS,1/2/2014,61.76,61.95,60.665,60.89,1011050
NUE,1/2/2014,53.29,53.38,52.51,52.73,1611326
NVDA,1/2/2014,15.92,15.98,15.72,15.86,6502296
NWL,1/2/2014,32.4,32.4,31.99,32.18,1563687
NWSA,1/2/2014,18.05,18.17,17.815,17.95,3673373
NWS,1/2/2014,17.84,18.03,17.76,17.89,758530
OKE,1/2/2014,62.15,62.15,61.0696,61.18,1096077
OMC,1/2/2014,74.52,74.78,73.83,74,1078995
ORCL,1/2/2014,37.78,38.03,37.55,37.84,18163750
ORLY,1/2/2014,128.42,129.64,128.2,128.76,537637
OXY,1/2/2014,94.51,94.84,93.41,93.85,2765153
O,1/2/2014,37.38,37.41,37.005,37.35,1632128
PAYX,1/2/2014,45.44,45.54,44.95,45.06,1853847
PBCT,1/2/2014,15.08,15.17,14.96,15.01,2828870
PCAR,1/2/2014,58.94,59,58.22,58.51,1077979
PCG,1/2/2014,40.36,40.37,39.66,39.66,2366352
PCLN,1/2/2014,1159.97,1161.29,1140,1145.44,654396
PDCO,1/2/2014,41.09,41.28,40.64,40.8,577867
PEG,1/2/2014,31.91,31.93,31.31,31.33,3323021
PEP,1/2/2014,82.93,82.99,81.82,82.1,3276752
PFE,1/2/2014,30.47,30.6,30.33,30.46,17438787
PFG,1/2/2014,48.96,49.1,48.35,48.62,1014181
PGR,1/2/2014,27.29,27.3,26.67,26.72,2569518
PG,1/2/2014,81.33,81.36,80.32,80.54,6985476
PHM,1/2/2014,20.25,20.34,19.86,20.08,5616884
PH,1/2/2014,128.1,128.78,126.99,127.24,806784
PKG,1/2/2014,63,63.815,63,63.25,634820
PKI,1/2/2014,40.99,41.39,40.86,40.94,832589
PLD,1/2/2014,36.99,37.01,36.5499,36.91,1985472
PM,1/2/2014,87,87.2,85.75,86.02,3760670
PNC,1/2/2014,76.06,77.22,76.06,76.6,1742055
PNR,1/2/2014,77.35,77.686,76.42,76.87,1063549
PNW,1/2/2014,53,53,52.04,52.05,1210532
PPG,1/2/2014,94.75,95.145,94.265,94.47,1368442
PPL,1/2/2014,30.13,30.13,29.64,29.65,4663954
PRGO,1/2/2014,152.45,154.52,152.11,153.1,1209456
PRU,1/2/2014,91.5,91.64,90.09,90.76,1694875
PSA,1/2/2014,150.49,150.49,148.04,148.95,665493
PSX,1/2/2014,77.17,77.32,76.36,76.45,2861834
PVH,1/2/2014,135.76,137.66,135.49,136.58,817684
PWR,1/2/2014,31.37,31.57,31.25,31.29,959400
PXD,1/2/2014,182.95,182.95,175,176.53,2083434
PX,1/2/2014,129.14,129.92,128.74,129.5,777690
QCOM,1/2/2014,73.61,73.77,73.255,73.32,10110167
RCL,1/2/2014,47.17,47.38,46.9,47.17,813965
REGN,1/2/2014,275.77,277.6,269.74,274.59,553014
REG,1/2/2014,46.28,46.34,45.41,45.97,609032
RE,1/2/2014,155.05,155.3899,149.6,151.07,547822
RF,1/2/2014,9.86,9.99,9.83,9.89,12170235
RHI,1/2/2014,41.72,41.9,41.36,41.37,749056
RHT,1/2/2014,55.95,56,55.39,55.83,1122485
RJF,1/2/2014,52.33,52.34,51.235,51.55,466241
RL,1/2/2014,175.44,176.88,174.93,175.37,750575
RMD,1/2/2014,47.01,47.01,46.13,46.2,773438
ROK,1/2/2014,117.62,117.9897,116.011,116.38,479119
ROP,1/2/2014,138.53,138.53,137.3192,138.08,359433
ROST,1/2/2014,37.175,37.675,37,37.135,3027234
RRC,1/2/2014,83.13,84.28,81.08,81.74,1996492
RSG,1/2/2014,33.2,33.3,32.91,32.96,1812723
RTN,1/2/2014,90.16,90.16,88.33,88.78,1501605
SBAC,1/2/2014,89.2,89.69,87.66,88.42,1314064
SBUX,1/2/2014,39.035,39.135,38.5025,38.585,8528022
SCG,1/2/2014,47.17,47.3,45.97,46.03,1001867
SCHW,1/2/2014,25.99,26.05,25.7,25.82,4618557
SEE,1/2/2014,34.02,34.04,33.46,33.73,1111962
SHW,1/2/2014,182.03,183,180.69,182.41,515691
SIG,1/2/2014,78.71,79.53,78.33,78.71,769019
SJM,1/2/2014,103.64,103.65,101.83,102.03,878923
SLB,1/2/2014,89.48,90.115,88.61,88.82,4958526
SLG,1/2/2014,92.17,92.77,91.18,91.98,614582
SNA,1/2/2014,109.28,109.67,108.14,108.55,252505
SNI,1/2/2014,85.68,86.62,85.04,85.48,582039
SNPS,1/2/2014,40.33,40.6,40.06,40.42,802775
SO,1/2/2014,41.13,41.13,40.59,40.69,5514769
SPGI,1/2/2014,77.44,77.78,76.53,77.75,1293116
SPG,1/2/2014,152.39,153.27,151.02,152.09,1378535
SRCL,1/2/2014,115.28,116.23,114.81,114.88,382978
SRE,1/2/2014,89.55,89.67,88.13,88.44,1495162
STI,1/2/2014,36.82,36.86,36.49,36.52,2241388
STT,1/2/2014,73.35,73.555,72.92,73.16,1733439
STX,1/2/2014,55.93,55.93,55.08,55.41,3023543
STZ,1/2/2014,70.02,70.225,68.84,69.24,1070520
SWKS,1/2/2014,28.3,28.34,27.2,27.4,3534856
SWK,1/2/2014,80.57,80.79,79.68,80.18,715610
SYK,1/2/2014,75.12,75.12,74.4,74.63,1204442
SYMC,1/2/2014,23.44,23.5,23.295,23.46,4439549
SYY,1/2/2014,36.9,36.9,35.82,35.92,6722624
TAP,1/2/2014,55.95,56.05,54.85,55.22,1352710
TDG,1/2/2014,160.6,160.6,158.87,159.57,527923
TEL,1/2/2014,54.89,54.99,54.36,54.45,1557227
TGT,1/2/2014,63.53,64.17,63.14,63.18,7426855
TIF,1/2/2014,92.2,93.64,92.04,92.55,862065
TJX,1/2/2014,63.36,64.33,63.19,63.48,2098457
TMK,1/2/2014,52.12,52.12,51.3867,51.62,578291
TMO,1/2/2014,110.69,111.16,109.29,109.63,2559028
TPR,1/2/2014,56.15,56.65,55.635,55.91,3448174
TRIP,1/2/2014,82.48,82.5,79.4,80.48,1995592
TROW,1/2/2014,83.58,83.755,82.19,82.56,1113643
TRV,1/2/2014,90.51,90.655,88.97,89.33,1543919
TSCO,1/2/2014,77.6,77.716,76.13,76.8,855339
TSN,1/2/2014,33.52,33.53,33.09,33.17,2001435
TSS,1/2/2014,33.23,33.23,32.69,32.79,1045110
TWX,1/2/2014,69.47,69.56,68.41,68.73,4734175
TXN,1/2/2014,43.44,43.5,42.88,43.1,6959175
TXT,1/2/2014,36.75,36.75,36.185,36.29,1467225
T,1/2/2014,35.24,35.29,34.95,34.95,20233147
UAA,1/2/2014,21.825,22.0075,21.6175,21.745,2992552
UAL,1/2/2014,37.7,38.13,37.5,37.73,2228357
UDR,1/2/2014,23.31,23.57,23.1,23.27,1427884
UHS,1/2/2014,80.84,81.89,80.2,80.62,544022
ULTA,1/2/2014,96.21,98.26,95.7,95.91,1619126
UNH,1/2/2014,74.91,75.29,74.51,74.57,3066950
UNM,1/2/2014,34.93,34.99,34.26,34.33,1205788
UNP,1/2/2014,84.2,84.91,83.32,83.555,4693952
UPS,1/2/2014,104.63,104.91,102.82,103.32,2799674
URI,1/2/2014,77.27,77.73,75.51,76.49,1292009
USB,1/2/2014,39.87,40.07,39.45,39.89,7045826
UTX,1/2/2014,112.9,113.21,112.31,112.49,2649693
VAR,1/2/2014,77.61,77.86,77.25,77.34,826123
VFC,1/2/2014,63.02,63.45,62,62.38,1769940
VIAB,1/2/2014,87.45,87.57,86.69,86.95,1613286
VLO,1/2/2014,50.14,50.5,49.57,49.87,4582849
VMC,1/2/2014,59.34,59.4096,58.51,58.68,497048
VNO,1/2/2014,89.16,89.29,87.82,88.64,783944
